60
216 	661 
939 	786 
312 	842 
985 	382 
144 	525 
578 	721 
889 	639 
498 	193 
116 	328 
4 	549 
300 	668 
828 	166 
995 	46 
576 	322 
863 	40 
771 	586 
213 	444 
987 	111 
133 	324 
339 	993 
250 	289 
268 	601 
179 	337 
59 	346 
850 	884 
899 	467 
952 	331 
649 	944 
264 	38 
196 	142 
110 	225 
535 	615 
314 	550 
536 	237 
858 	279 
2 	195 
537 	571 
678 	137 
851 	378 
535 	385 
601 	320 
498 	851 
155 	300 
219 	796 
981 	481 
176 	439 
988 	708 
718 	568 
771 	297 
289 	741 
395 	996 
86 	487 
794 	683 
872 	409 
59 	437 
359 	28 
254 	960 
594 	788 
434 	430 
45 	883 
